Year,State,Type,Number,Companion,URL,Status,Description,Author/Sponsor,Level,Open Mentioned,Enacted,,,,47
2015,New Jersey,Legislation,S 2348,A 2809,https://legiscan.com/NJ/bill/S2348/2014,Introduced and referred to Senate Higher Education Committee 8/18/2014,"Affordable College Textbook Act: This bill requires that within 180 days of the Act becoming effective, 4 year public or indendpent institutions of higher education, after consultation with faculty members, shall submit a plan to the Secretary of Higher Education to expand the use of open textbooks in order to achieve savings for students enrolled. This bill recognizes that open educational resources are important because they can be used freely by students, faculty, and the general public and can be used in place of traditional textbook materials, which can reduce textbook costs by 80-100%",Shirley Turner,Higher Ed,yes,no,1/6/2016,,,
2016,New Jersey,Legislation,A 2653,S 2619,http://www.njleg.state.nj.us/bills/BillView.asp?BillNumber=A2653,Introduced and referred to Assembly Higher Education Committee 2/8/16; For Preliminary Committee Action - to be reported preliminary - to be reported SCA - 10/17/16,"An Act Concerning College Textbooks: This requires institutions of higher education to develop open textbooks available to students at no charge. Within 180 days of the effective date of this act, higher education institutes are required to submit a plan to the Secretary of Higher Education to expand the use of open textbooks in order to achieve savings for students enrolled in the institution.","Nancy Pinkin, Mila Jasey, Wayne DeAngelo, Joe Danielson",Higher Ed,yes,no,,,,
2016,New Jersey,Legislation,S 2619,A 2653,http://www.njleg.state.nj.us/bills/BillView.asp?BillNumber=S2619,Passed the Senate (37-0) - 12/19/16; Received in the Assembly and referred to Assembly Higher Education Committee ,"An Act Concerning College Textbooks: This requires institutions of higher education to develop open textbooks available to students at no charge. Within 180 days of the effective date of this act, higher education institutes are required to submit a plan, created in consultation with faculty members at the institution, to the Secretary of Higher Education to expand the use of open textbooks in order to achieve savings for students enrolled in the institution.","Sandra B. Cunningham, Nilsa Cruz-Perez",Higher Ed,yes,no,,,,
2017,New Jersey,In session,A 2653,,http://www.njleg.state.nj.us/bills/BillView.asp,Introduced and referred to Assembly Higher Education Committee - 02/08/2016,"An Act Concerning College Textbooks: This requires institutions of higher education to develop open textbooks available to students at no charge. Within 180 days of the effective date of this act, higher education institutes are required to submit a plan to the Secretary of Higher Education to expand the use of open textbooks in order to achieve savings for students enrolled in the institution.","Nancy Pinkin, Mila Jasey, Wayne DeAngelo, Joe Danielson",Higher Ed,Yes,,,,,
2017,New Jersey,In session,A 4487,,http://www.njleg.state.nj.us/bills/BillView.asp,Introduced and referred to Assembly Higher Education Committee - 01/12/2017,"This Act would require institutions of higher education to develop plan to offer open textbooks to students. Public and independent institutions of higher education, after consultation with faculty members, shall submit a plan to expand the use of open textbooks and commercial digital learning materials in order to achieve savings for students.","Adam Taliaferro, Raj Mukherji",Higher Ed,Yes,,,,,
2017,New Jersey,In session,A 4690,,http://www.njleg.state.nj.us/2016/Bills/A5000/4690_I1.PDF,Introduced and referred to Assembly Higher Education Committee - 03/16/2017,Requires institutions of higher education to develop open textbook plan (bill text not yet posted),"Wimberly, McKnight",Higher Ed,Yes,,,,,
2017,New Jersey,In session,S 2619,,http://www.njleg.state.nj.us/2016/Bills/S3000/2619_R2.PDF,Passed the Senate (37-0); Received in the Assembly and referred to Assembly Higher Education Committee - 12/19/2016,"An Act Concerning College Textbooks: This requires institutions of higher education to develop open textbooks available to students at no charge. Within 180 days of the effective date of this act, higher education institutes are required to submit a plan, created in consultation with faculty members at the institution, to the Secretary of Higher Education to expand the use of open textbooks in order to achieve savings for students enrolled in the institution.","Sandra B. Cunningham, Nilsa Cruz-Perez",Higher Ed,Yes,,Here is the current link:http://www.njleg.state.nj.us/2016/Bills/S3000/2619_R2.PDF,,,
2018,New Jersey,Legislation,A 327,S768,http://www.njleg.state.nj.us/2018/Bills/A0500/327_U1.PDF,"Introduced, referred to Assembly Higher Education Committee - 01/09/2018

Reported from Assembly Committee, as a substitute, 2nd reading - 06/18/2018","An Act Concerning College Textbooks (substitute): Within one year of effective date, an institution of higher education, after consultation with faculty members, shall submit a plan to the Secretary of Education to expand the use of open textbooks and commercial digital learning materials in order to achieve savings for students enrolled in the institution. The Secretary shall review the plan to ensure the plan has the potential to: achieve the highest level of savings for students through the sustainable expanded use of open textbooks; produce the highest quality open textbooks that can be most easily utilized and adapted by faculty members at the institution; ensure the institution is making a good faith effort to provide open textbooks to students, among others.","Pinkin, Jasey. Deangelo, Danielsen",Higher Ed,Yes,,,,,
2018,New Jersey,Legislation,A 1149,,http://www.njleg.state.nj.us/2018/Bills/A0500/327_U1.PDF,"Introduced, referred to Assembly Higher Education Committee - 01/09/2018

Combined with A327 & A3254 - 06/18/2018","An Act Concerning College Textbooks (substitute): Within one year of effective date, an institution of higher education, after consultation with faculty members, shall submit a plan to the Secretary of Education to expand the use of open textbooks and commercial digital learning materials in order to achieve savings for students enrolled in the institution. The Secretary shall review the plan to ensure the plan has the potential to: achieve the highest level of savings for students through the sustainable expanded use of open textbooks; produce the highest quality open textbooks that can be most easily utilized and adapted by faculty members at the institution; ensure the institution is making a good faith effort to provide open textbooks to students, among others.","Wimberly, McKnight",Higher Ed,Yes,,,,,
2018,New Jersey,Legislation,A 3254,,http://www.njleg.state.nj.us/2018/Bills/A0500/327_U1.PDF,"Introduced, referred to Assembly Higher Education Committee - 02/12/2018

Combined with A327 & A1149 - 06/18/2018","An Act Concerning College Textbooks (substitute): Within one year of effective date, an institution of higher education, after consultation with faculty members, shall submit a plan to the Secretary of Education to expand the use of open textbooks and commercial digital learning materials in order to achieve savings for students enrolled in the institution. The Secretary shall review the plan to ensure the plan has the potential to: achieve the highest level of savings for students through the sustainable expanded use of open textbooks; produce the highest quality open textbooks that can be most easily utilized and adapted by faculty members at the institution; ensure the institution is making a good faith effort to provide open textbooks to students, among others.",Taliaferro,Higher Ed,Yes,,,,,
2018,New Jersey,Legislation,A 3681,S 1937,http://www.njleg.state.nj.us/2018/Bills/A4000/3681_I1.PDF,Introduced and referred to Assembly HIgher Education Committee - 03/13/2018,"This bill requires textbook publishers to provide to the faculty members or academic departments at public institutions of higher education responsible for selecting textbooks the price at which the publisher would make the product available to the college bookstore. The bill also requires publishers to disclose when unbundled textbooks are available in the same edition as the bundled textbooks. The purpose of this bill is to promote open and transparent marketing, pricing, and purchasing of textbooks to provide savings to students.",Annette Quijano,Higher Ed,No,,,,,
2018,New Jersey,Legislation,A 4582,S 2978,https://www.njleg.state.nj.us/2018/Bills/A5000/4582_I1.PDF,"Introduced, referred to Assembly Education Committee - 10/15/2018","The Department of Education shall develop and maintain a list of textbook vendors that incorporate inclusive material in their textbooks. When a school district determines to acquire a new textbook, the district shal select the textbook from a vendor that is included on the department's list. The provisions of this section shall not apply to textbooks acquired by a school district using the Statewide textbook bank.",No information,K-12,No,,,,,
2018,New Jersey,Legislation,S 768,"A327, A1149, A3254",http://www.njleg.state.nj.us/2018/Bills/S1000/768_I1.PDF,"Passed Senate, received in Assembly and referred to Assembly Higher Education Committee - 02/01/2018

Reported out of Assembly Committee with Amendments, 2nd reading - 06/18/2018","This bill requires institutions of higher education to develop open textbook plan.  Within 180 days of the effective date of this bill, an institution of higher education, after consultation with faculty members at the institution, shall submit a plan to the Secretary of Higher Education to expand the use of open textbooks and commercial digital learning materials in order to achieve savings for students enrolled in the institution.
As amended and reported to the Committee, this bill is identical to the Assembly Committee Subsitute for Assembly Bills A327, A1149, and A3254.","Cunninghan, Cruz-Perez",Higher Ed,Yes,,,,,
2018,New Jersey,Legislation,S 1937,A 3681,http://www.njleg.state.nj.us/2018/Bills/S2000/1937_I1.PDF,"Introduced in the Senate, referred to Higher Education Committee - 02/22/2018","This bill requires textbook publishers to provide to the faculty members or academic departments at public institutions of higher education responsible for selecting textbooks the price at which the publisher would make the product available to the college bookstore. The bill also requires publishers to disclose when unbundled textbooks are available in the same edition as the bundled textbooks. The purpose of this bill is to promote open and transparent marketing, pricing, and purchasing of textbooks to provide savings to students.",Turner,Higher Ed,No,,,,,
2018,New Jersey,Legislation,S 2978,A 4582,https://www.njleg.state.nj.us/2018/Bills/S3000/2978_I1.PDF,"Introduced in the Senate, referred to Education Committee - 09/24/2018","The Department of Education shall develop and maintain a list of textbook vendors that incorporate inclusive material in their textbooks. When a school district determines to acquire a new textbook, the district shal select the textbook from a vendor that is included on the department's list. The provisions of this section shall not apply to textbooks acquired by a school district using the Statewide textbook bank.","Cunninghan, Ruiz",K-12,No,,,,,
2019,New Jersey,Legislation,A 327,S 768,http://www.njleg.state.nj.us/2018/Bills/A0500/327_U1.PDF,"Introduced, referred to Assembly Higher Education Committee - 01/09/2018

Reported from Assembly Committee, as a substitute, 2nd reading - 06/18/2018

Substituted by S768 - 03/25/2019","An Act Concerning College Textbooks (substitute): Within one year of effective date, an institution of higher education, after consultation with faculty members, shall submit a plan to the Secretary of Education to expand the use of open textbooks and commercial digital learning materials in order to achieve savings for students enrolled in the institution. The Secretary shall review the plan to ensure the plan has the potential to: achieve the highest level of savings for students through the sustainable expanded use of open textbooks; produce the highest quality open textbooks that can be most easily utilized and adapted by faculty members at the institution; ensure the institution is making a good faith effort to provide open textbooks to students, among others.","Pinkin, Jasey. Deangelo, Danielsen",Higher Ed,Yes,,,,,
2019,New Jersey,Legislation,A 1149,,http://www.njleg.state.nj.us/2018/Bills/A0500/327_U1.PDF,"Introduced, referred to Assembly Higher Education Committee - 01/09/2018

Combined with A327 & A3254 - 06/18/2018","An Act Concerning College Textbooks (substitute): Within one year of effective date, an institution of higher education, after consultation with faculty members, shall submit a plan to the Secretary of Education to expand the use of open textbooks and commercial digital learning materials in order to achieve savings for students enrolled in the institution. The Secretary shall review the plan to ensure the plan has the potential to: achieve the highest level of savings for students through the sustainable expanded use of open textbooks; produce the highest quality open textbooks that can be most easily utilized and adapted by faculty members at the institution; ensure the institution is making a good faith effort to provide open textbooks to students, among others.","Wimberly, McKnight",Higher Ed,Yes,,,,,
2019,New Jersey,Legislation,A 3254,,http://www.njleg.state.nj.us/2018/Bills/A0500/327_U1.PDF,"Introduced, referred to Assembly Higher Education Committee - 02/12/2018

Combined with A327 & A1149 - 06/18/2018","An Act Concerning College Textbooks (substitute): Within one year of effective date, an institution of higher education, after consultation with faculty members, shall submit a plan to the Secretary of Education to expand the use of open textbooks and commercial digital learning materials in order to achieve savings for students enrolled in the institution. The Secretary shall review the plan to ensure the plan has the potential to: achieve the highest level of savings for students through the sustainable expanded use of open textbooks; produce the highest quality open textbooks that can be most easily utilized and adapted by faculty members at the institution; ensure the institution is making a good faith effort to provide open textbooks to students, among others.",Taliaferro,Higher Ed,Yes,,,,,
2019,New Jersey,Legislation,A 3681,S 1937,http://www.njleg.state.nj.us/2018/Bills/A4000/3681_I1.PDF,Introduced and referred to Assembly HIgher Education Committee - 03/13/2018,"This bill requires textbook publishers to provide to the faculty members or academic departments at public institutions of higher education responsible for selecting textbooks the price at which the publisher would make the product available to the college bookstore. The bill also requires publishers to disclose when unbundled textbooks are available in the same edition as the bundled textbooks. The purpose of this bill is to promote open and transparent marketing, pricing, and purchasing of textbooks to provide savings to students.",Annette Quijano,Higher Ed,No,,,,,
2019,New Jersey,Legislation,A 4582,S 2978,https://www.njleg.state.nj.us/2018/Bills/A5000/4582_I1.PDF,"Introduced, referred to Assembly Education Committee - 10/15/2018","The Department of Education shall develop and maintain a list of textbook vendors that incorporate inclusive material in their textbooks. When a school district determines to acquire a new textbook, the district shal select the textbook from a vendor that is included on the department's list. The provisions of this section shall not apply to textbooks acquired by a school district using the Statewide textbook bank.","Pamela Lampitt, Valerie Vainieri Huttle, Gabriela Mosquera",K-12,No,,,,,
2019,New Jersey,Legislation,S 768,"A 327, A 1149, A 3254",http://www.njleg.state.nj.us/2018/Bills/S1000/768_I1.PDF,"Approved P.L. 2019, c.77 - 05/02/2019","This bill requires institutions of higher education to develop open textbook plan.  Within 180 days of the effective date of this bill, an institution of higher education, after consultation with faculty members at the institution, shall submit a plan to the Secretary of Higher Education to expand the use of open textbooks and commercial digital learning materials in order to achieve savings for students enrolled in the institution.
As amended and reported to the Committee, this bill is identical to the Assembly Committee Substitute for Assembly Bills A327, A1149, and A3254.","Cunninghan, Cruz-Perez",Higher Ed,Yes,Yes,,,,
2019,New Jersey,Legislation,S 1937,A 3681,https://www.njleg.state.nj.us/2018/Bills/S2000/1937_I1.PDF,"Introduced in Senate, referred to Senate Higher Education Committee - 02/22/2018","This bill requires textbook publishers to provide to the faculty members or academic departments at public institutions of higher education responsible for selecting textbooks the price at which the publisher would make the product available to the college bookstore. The bill also requires publishers to disclose when unbundled textbooks are available in the same edition as the bundled textbooks. The purpose of this bill is to promote open and transparent marketing, pricing, and purchasing of textbooks to provide savings to students.",Turner,Higher Ed,No,,,,,
2019,New Jersey,Legislation,S 2978,A 4582,https://www.njleg.state.nj.us/2018/Bills/S3000/2978_I1.PDF,"Introduced in the Senate, referred to Education Committee - 09/24/2018

Reported from Senate Committee with Amendments, 2nd Reading - 10/18/2018","The Department of Education shall develop and maintain a list of textbook vendors that incorporate inclusive material in their textbooks. When a school district determines to acquire a new textbook, the district shall select the textbook from a vendor that is included on the department's list. The provisions of this section shall not apply to textbooks acquired by a school district using the Statewide textbook bank.","Cunninghan, Ruiz",K-12,No,,,,,
2017,New Mexico ,Adjourned,HB 42,,https://www.nmlegis.gov/Legislation/Legislation?Chamber=H&LegType=B&LegNo=42&year=17,Vetoed by Governor,"This Act would amend the Instructional Material Law to expand the definition of ""instructional material"" to include electronic media and content resources, excluding electronic devices and hardware, that support digital learning formats and educational programs. ",Sheryl Stapleton,K-12,No,No,,,,
2015,New York,Legislation,A 6377,,http://assembly.state.ny.us/leg/?bn=A06377&term=2015,Referred to Higher Education Committee 3/20,"This bill creates a task force to review the cost of textbooks, with a goal of finding ways to make materials more affordable through ways such as: open access textbooks and digital textbooks. The task force's report must be submitted by January 1, 2016 and it must include ways to promote the greater development, adoption, deployment, and use of open access textbooks in both digital and print formats for students and faculty in fiscally sustainable ways.",Chad Lupinacci,Higher Ed,yes,no,1/7/2016,,,
2016,New York,Legislation,A 6377,,http://assembly.state.ny.us/leg/?bn=A06377&term=2015,Referred to Higher Education Committee 1/6/16,"This bill creates a task force to review the cost of textbooks, with a goal of finding ways to make materials more affordable through ways such as: open access textbooks and digital textbooks. The task force's report must be submitted by January 1, 2016 and it must include ways to promote the greater development, adoption, deployment, and use of open access textbooks in both digital and print formats for students and faculty in fiscally sustainable ways.",Chad Lupinacci,Higher Ed,yes,no,,,,
2016,New York,Legislation,S 7508,,http://nyassembly.gov/leg/?default_fld=&leg_video=&bn=S07508&term=2015&Summary=Y&Actions=Y,Introduced and referred to Higher Education Committee - 5/6/16,"This bill requires the boards of trustees of the state university of New York and the city university of New York each to conduct and report on the availability and accessibility of alternative high-quality, lower cost course resources in lieu of traditional textbooks - this may include OER, online textbooks, and other related educational materials",Hamilton,Higher Ed,yes,no,,,,
2017,New York,Adjourned,A 1685,,http://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A01685&term=2017&Summary=Y&Actions=Y&Text=Y,Introduced and referred to Libraries and Education Technology - 01/12/2017,"This bill enacts the ""New Century Libraries; Libraries 2017 Act: This Act funds libraries, including the New York online virtual electronic library. Funds shall be made available for strengthening the statewide library services that support the development and maintenance of the statewide digital library and electronic access to information. Further, funding is also available for the establishment of a program of statewide access to electronic information by public and nonprofit independent colleges and universities with libraries.",Pretlow,Higher Ed,No,No,,,,
2017,New York,Adjourned,A 40,,http://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A00040&term=2017&Summary=Y&Actions=Y&Text=Y,Introduced and referred to Higher Education Committee - 01/04/2017,"This Bill authorizes the trustees of the state university of New York to create an academic review board for the review of all textbooks sold, purchased, or used for academic purposes on all state univeristy of New York Campuses - the goal is to serve as an interface between the publishing industry and the management of the independent bookstores and to explore the issue of textbook costs on all campuses.","Cahill, Abbate, Cook, Cymbrowitz, Ortiz",Higher Ed,No,No,,,,
2017,New York,Adjourned,A 5899,,http://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A05899&term=2017&Summary=Y&Text=Y,Introduced and referred to Higher Education Committee - 02/17/2017,"This bill authorizes the regents to create a task force to review the issue of textbook cost and ways to enhance the academic role and delivery of course materials including consideration of used books, textbook rentals, custom materials, the use of open access textbooks, digital textbooks, print on demand technologies, and through greater collaboration between college bookstores and libraries. ",Lupinacci,Higher Ed,Yes,No,,,,
2017,New York,Adjourned,A 7221,,http://nyassembly.gov/leg/?bn=A07221&term=2017,Introduced and referred to HIgher Education Committee - 04/12/2017,"This act requires the Board of trustees of the State University of New York and the City University of New York to conduct a joint study and report on the availability and accessibility of alternative high-quality, lower cost course resources in lieu of traditional textbooks, which may include open education resources, online textbooks and other related educational materials.",Kim,Higher Ed,Yes,No,,,,
2017,New York,Adjourned,A 8296,,http://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A08296&term=2017&Summary=Y&Actions=Y,Introduced and referred to Higher Education Committee - 06/06/2017,"This bill enacts the college textbook affordability act and establishes the New York state open education resources council and New York state open source digital library. The purpose of this bill is to encourage faculty to accelerate the adoption of lower cost, high-quality, open educational resources. This would authorize campuses and community colleges to adopt open educational resources adoption incentive program campus plans and apply for grants to implement such plans.",Santabarbara,Higher Ed,Yes,No,,,,
2017,New York,Adjourned,S 2444,,http://nyassembly.gov/leg/?default_fld=&leg_video=&bn=S02444&term=2017&Summary=Y&Actions=Y,"Passed Senate - 06/08/2017

Referred to Assembly Higher Education Committee - 06/08/2017","This bill requires the boards of trustees of the state university of NY and the city university of NY to each conduct and report on the availability and accessibility of alternative high-quality, lower cost course resources in lieu of traditional textbooks, which may include open education resources, online textbooks, and other related educational materials.",Hamilton,Higher Ed,Yes,No,,,,
2017,New York,Adjourned,S6608,,http://nyassembly.gov/leg/?default_fld=&leg_video=&bn=S06608&term=2017&Summary=Y&Actions=Y&Text=Y,"Introduced - 06/07/2017

Passed Senate - 06/15/2017

Delivered to Assembly, referred to Higher Education - 06/15/2017","This bill seeks to reduce the cost of textbooks and course materials for students of institutions of higher education by requiring every institution of higher education to adopt policies that allow the use of innovative pricing techniques and payment options for textbooks, supplemental materials, and other course materials or textbooks.",Helming,Higher Ed,No,No,,,,
2018,New York,Legislation,A 1685 (2017),,http://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A01685&term=2017&Summary=Y&Actions=Y&Text=Y,"Introduced - 01/12/2017 

Referred to Libraries and Education Technology - 01/03/2018","This bill enacts the ""New Century Libraries; Libraries 2017 Act: This Act funds libraries, including the New York online virtual electronic library. Funds shall be made available for strengthening the statewide library services that support the development and maintenance of the statewide digital library and electronic access to information. Further, funding is also available for the establishment of a program of statewide access to electronic information by public and nonprofit independent colleges and universities with libraries.",Pretlow,Higher Ed,No,,,,,
2018,New York,Legislation,A 5899 (2017),,http://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A05899&term=2017&Summary=Y&Text=Y,"Introduced and referred to Higher Education Committee - 02/17/2017

This bill is not active in this session","This bill authorizes the regents to create a task force to review the issue of textbook cost and ways to enhance the academic role and delivery of course materials including consideration of used books, textbook rentals, custom materials, the use of open access textbooks, digital textbooks, print on demand technologies, and through greater collaboration between college bookstores and libraries. ",Lupinacci,Higher Ed,Yes,No,,,,
2018,New York,Legislation,A 7221 (2017),S2444 (2017),http://nyassembly.gov/leg/?bn=A07221&term=2017,"Introduced - 04/12/2017 

Referred to Higher Education Committee - 01/03/2018","This act requires the Board of trustees of the State University of New York and the City University of New York to conduct a joint study and report on the availability and accessibility of alternative high-quality, lower cost course resources in lieu of traditional textbooks, which may include open education resources, online textbooks and other related educational materials.",Kim,Higher Ed,Yes,,,,,
2018,New York,Legislation,A 8296 (2017),,http://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A08296&term=2017&Summary=Y&Actions=Y,"Introduced -06/06/2017

Referred to Higher Education Committee - 01/03/2018","This bill enacts the college textbook affordability act and establishes the New York state open education resources council and New York state open source digital library. The purpose of this bill is to encourage faculty to accelerate the adoption of lower cost, high-quality, open educational resources. This would authorize campuses and community colleges to adopt open educational resources adoption incentive program campus plans and apply for grants to implement such plans.",Santabarbara,Higher Ed,Yes,,,,,
2018,New York,Legislation,A 9088,,http://nyassembly.gov/leg/?bn=A09088&term=2017,"Introduced, referred to Education - 01/18/2018

Held for consideration in Education - 06/06/2018","This bill authorizes the regents to review the issue of textbook cost and ways to enhance the academic role and delivery of course materials, and ensure student affordability through such approaches as used books, textbook rentals, custom materials, and the use of open access textbooks, digital textbooks, print on demand technologies, and through greater collaboration between faculty, publishers, college bookstores, and libraries.",Ra,Higher Ed,Yes,,,,,
2018,New York,Legislation,A 10014,S 6608 (2017),http://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A10014&term=2017&Summary=Y&Actions=Y,"Introduced, referred to HIgher Education - 03/07/2018","This bill seeks to reduce the cost of textbooks and course materials for students of institutions of higher education by requiring every institution of higher education to adopt policies that allow the use of innovative pricing techniques and payment options for textbooks, supplemental materials, and other course materials or textbooks.",Hyndman,Higher Ed,No,,,,,
2018,New York,Legislation,S 2444 (2017),A 7221 (2017),http://nyassembly.gov/leg/?default_fld=&leg_video=&bn=S02444&term=2017&Summary=Y&Actions=Y,"Passed Senate, delivered to Assembly - 06/11/2018

Referred to Higher Education - 06/11/2018","This bill requires the boards of trustees of the state university of NY and the city university of NY to each conduct and report on the availability and accessibility of alternative high-quality, lower cost course resources in lieu of traditional textbooks, which may include open education resources, online textbooks, and other related educational materials.",Hamilton,Higher Ed,Yes,,,,,
2018,New York,Legislation,S 6608 (2017),A 10014,http://nyassembly.gov/leg/?default_fld=&leg_video=&bn=S06608&term=2017&Summary=Y&Actions=Y&Text=Y,"Passed Senate, delivered to Assembly - 06/07/2018

Referred to Higher Education - 06/07/2018","This bill seeks to reduce the cost of textbooks and course materials for students of institutions of higher education by requiring every institution of higher education to adopt policies that allow the use of innovative pricing techniques and payment options for textbooks, supplemental materials, and other course materials or textbooks.",Helming,Higher Ed,No,,,,,
2019,New York,Legislation,A 2893,,https://nyassembly.gov/leg/?bn=A02893&term=2019,"Introduced, referred to Higher Education - 01/28/2019","This bill requires the boards of trustees of the state university of New York and the city university of New York each to conduct and report on the availability and accessibility of alternative high-quality, lower-cost course resources in lieu of traditional textbooks. This may include open education resources, online textbooks, and other education related materials.",Kim,Higher Ed,Yes,No,,,,
2019,New York,Legislation,A 2961,,https://nyassembly.gov/leg/?bn=A02961&term=2019,"Introduced, referred to Higher Education - 01/28/2019","This bill enacts the college textbook affordability act to encourage the adoption of low-cost, high-quality, open educational resources. It establishes the New York open education resources council and open source digital library. This would authorize SUNY campuses and community colleges to adopt open educational resources adoption inventive program campus plans and apply for grants to implement such plans. ",Santabarbara,Higher Ed,Yes,No,,,,
2019,New York,Legislation,A 4165,,https://nyassembly.gov/leg/?bn=A04165&term=2019,"Introduced, referred to Higher Education - 02/01/2019","This bill requires institutions of higher education to publish a list of all courses offered to include the instructor, instructional materials needed or recommended, and expected number of students to be enrolled; these institutions must provide information on instructional materials to bookstores, other than those operated by the institution and provide equal access to students. This bill notes it is the policy of the state to allow all persons engaged in the sale of instructional materials for courses provided at institutions of higher education, to compete on an equal basis for the sale of such materials to students.",Englebright,Higher Ed,No,No,,,,
2019,New York,Legislation,A 5914,S 3661,https://nyassembly.gov/leg/?term=2019&bn=A05914,"Introduced, referred to Higher Education - 02/20/2019","This bill seeks to reduce the cost of textbooks and course materials for students of institutions of higher education by requiring every institution of higher education to adopt policies that allow the use of innovative pricing techniques and payment options for textbooks, supplemental materials, and other course materials or textbooks.",Hyndman,Higher Ed,No,No,,,,
2019,New York,Legislation,S 3661,A 5914,https://nyassembly.gov/leg/?bn=S03661&term=2019,"Passed Senate - 05/30/2019

In Assembly, referred to Higher Education - 05/30/2019","This bill seeks to reduce the cost of textbooks and course materials for students of institutions of higher education by requiring every institution of higher education to adopt policies that allow the use of innovative pricing techniques and payment options for textbooks, supplemental materials, and other course materials or textbooks.",Gounardes,Higher Ed,No,No,,,,
2015,North Carolina,Legislation,HB 660,,http://www.ncleg.net/gascripts/BillLookUp/BillLookUp.pl?Session=2015&BillID=h660,Passed third reading in House 4/29; Passed first reading in Senate 4/30; Referred to Committee on Rules and Operations of the Senate; Died,Transition to Personalized Digital Learning: This bill requires the State Board to provide access to digital learning resources for all K-12 public schools. This access must include access to open educational resources that are developed in North Carolina and elsewhere,"Craig Horn, Jason Saine, Charles Jeter, John Fraley",K-12,yes,no,4/25/2016,,,
2016,North Carolina,Legislation,HB 660,,http://www.ncleg.net/gascripts/BillLookUp/BillLookUp.pl?Session=2015&BillID=H660&submitButton=Go,Passed House - 4/29/15; Passed first reading in Senate - 4/30/15; Referred to Committee on Rules and Operations of the Senate - 4/30/15,Transition to Personalized Digital Learning: This bill requires the State Board to provide access to digital learning resources for all K-12 public schools. This access must include access to open educational resources that are developed in North Carolina and elsewhere,"Craig Horn, Jason Saine, Charles Jeter, John Fraley",K-12,yes,no,,,,
2017,North Carolina,Adjourned,HB 495,,http://www.ncleg.net/gascripts/BillLookUp/BillLookUp.pl?Session=2017&BillID=H495,Introduced and referred to Appropriations Committee - 03/28/2017,"This bill increases funding for textbooks and digital resources. Further, local school administrative units shall have the flexibility to use all funds in this allotment category for instructional resources, including textbooks, instructional supplies, and equipment, that they determine are most important.","Horn, Lucas",K-12,No,No,,,,
2017,North Carolina,Adjourned,HB 898,,http://www.ncleg.net/gascripts/BillLookUp/BillLookUp.pl?Session=2017&BillID=H898, Introduced and referred to Appropriations Committee - 04/26/2017,"An Act to Provide for Additional Goals for the Implementation of the Digital Learning Plan: The SBE, the Dept. of Public Instruction, the Friday Institute for Educational Innovation at NC State University and UNC educator preparation programs shall collaborate with an experienced provider to develop and implement a comprehensive professional develop strategy and solution for teachers and for students in UNC EPPs for the use of technology and digital resources as teaching tools for K-12 students.","Saine, Hanes, White, Fraley",K-12,No,No,,,,
2018,North Carolina,Legislation,HB 495 (2017),,http://www.ncleg.net/gascripts/BillLookUp/BillLookUp.pl?Session=2017&BillID=H495,Introduced and referred to Appropriations Committee - 03/28/2017,"This bill increases funding for textbooks and digital resources. Further, local school administrative units shall have the flexibility to use all funds in this allotment category for instructional resources, including textbooks, instructional supplies, and equipment, that they determine are most important.","Horn, Lucas",K-12,No,,,,,
2018,North Carolina,Legislation,HB 898 (2017),,http://www.ncleg.net/gascripts/BillLookUp/BillLookUp.pl?Session=2017&BillID=H898, Introduced and referred to Appropriations Committee - 04/26/2017,"An Act to Provide for Additional Goals for the Implementation of the Digital Learning Plan: The SBE, the Dept. of Public Instruction, the Friday Institute for Educational Innovation at NC State University and UNC educator preparation programs shall collaborate with an experienced provider to develop and implement a comprehensive professional develop strategy and solution for teachers and for students in UNC EPPs for the use of technology and digital resources as teaching tools for K-12 students.","Saine, Hanes, White, Fraley",K-12,No,,,,,
2019,North Carolina,Legislation,HB 251,,https://www.ncleg.gov/BillLookUp/2019/H251,"Filed - 02/28/2019 

Passed first reading, referred to the Committee on Education - K-12, if favorable, Finance, if favorable, Rules, Calendar, and Operations of the House - 03/04/2019","This bill expands the use of funds in the textbook and digital resources allotment to include electronic devices. Funds could then be used for technology-based programs and other digital resources to be used in the learning process, as well as for electronic equipment used to access technology-based programs and digital resources, such as online curriculum and instructional content.","Hurley, Hardister, Blackwell, Horn",K-12,No,No,,,,
2019,North Carolina,Legislation,HB 665,,https://www.ncleg.gov/BillLookUp/2019/H665,"Passed House - 05/01/2019

Passed first reading in Senate, referred to Committee on Rules and Operations of the Senate - 05/02/2019","This bill amends existing law but also contains an appropriation for open educational resources material - this would appropriate from the General Fund to the Board of Governors of the University of North Carolina the sum of $300,000 in recurring funds for the 2019-20 fiscal year to reduce student textbook costs through the curation and adoption by the University of North Carolina System Office of high-quality open educational resources materials for the most commonly taught courses across constituent institutions and community colleges.",Fraley,Higher Ed,Yes,No,,,,
